title_ru,title_en,rating_filmru,rating_users,rating_imdb,url
Контрабанда,Contraband,6,6.9,6.4,https://www.film.ru/movies/kontrabanda
Огонь Кристиана Лубутена 3D,FEU: Crazy Horse Paris,6,6.2,6.3,https://www.film.ru/movies/ogon-kristiana-lubutena-3d
Хемингуэй и Геллхорн,Hemingway & Gellhorn,6,6.4,6.3,https://www.film.ru/movies/heminguey-i-gellhorn
Грэбберсы,Grabbers,6,6.4,6.3,https://www.film.ru/movies/grebbersy
Большие надежды,Great Expectations,6,6.8,6.3,https://www.film.ru/movies/bolshie-nadezhdy-1
Римские приключения,To Rome with Love,6,6.7,6.3,https://www.film.ru/movies/rimskie-priklyucheniya
Машина Джейн Мэнсфилд,Jayne Mansfield's Car,6,6.1,6.3,https://www.film.ru/movies/mashina-dzheyn-mensfild
Орда,201216+,6,5.6,6.2,https://www.film.ru/movies/orda
Вспомнить все,Total Recall,6,6.2,6.2,https://www.film.ru/movies/vspomnit-vse-0
Красные огни,Red Lights,6,6.6,6.2,https://www.film.ru/movies/krasnye-ogni-0
Ограбление казино,Killing Them Softly,6,6.1,6.2,https://www.film.ru/movies/ograblenie-kazino
Любовь по-взрослому,This Is 40,6,5.2,6.2,https://www.film.ru/movies/lyubov-po-vzroslomu
Мрачные тени,Dark Shadows,6,7.1,6.2,https://www.film.ru/movies/mrachnye-teni
Танго либре,Tango libre,6,6.3,6.1,https://www.film.ru/movies/tango-libre
Людвиг Баварский,Ludwig II,6,5.4,6.1,https://www.film.ru/movies/lyudvig-bavarskiy
Супер Майк,Magic Mike,6,6.5,6.1,https://www.film.ru/movies/super-mayk
Грязная кампания за честные выборы,The Campaign,6,6.3,6.1,https://www.film.ru/movies/gryaznaya-kampaniya-za-chestnye-vybory
Белоснежка и охотник,Snow White and the Huntsman,6,6.4,6.1,https://www.film.ru/movies/belosnezhka-i-ohotnik
Ученик мастера,Tai ji 1: Cong ling kai shi,6,5.6,6,https://www.film.ru/movies/uchenik-mastera
Родительский беспредел,Parental Guidance,6,6.6,6,https://www.film.ru/movies/roditelskiy-bespredel
Напролом,Lockout,6,6.8,6,https://www.film.ru/movies/naprolom-0
На дороге,On the Road,6,6.2,6,https://www.film.ru/movies/na-doroge
Пиратское телевидение,Tele gaucho,6,6.2,5.9,https://www.film.ru/movies/piratskoe-televidenie
Шесть раз,S#x Acts,6,5.5,5.9,https://www.film.ru/movies/shest-raz
Что творят немецкие мужчины,Men Do What They Can,6,6.0,5.9,https://www.film.ru/movies/chto-tvoryat-nemeckie-muzhchiny
Рок на века,Rock of Ages,6,6.7,5.9,https://www.film.ru/movies/rok-na-veka
Президент Линкольн: Охотник на вампиров,Abraham Lincoln: Vampire Hunter,6,5.9,5.9,https://www.film.ru/movies/prezident-linkoln-ohotnik-na-vampirov
Железное небо,Iron Sky,6,6.4,5.9,https://www.film.ru/movies/zheleznoe-nebo
